model_name,map50_95,map50,training_time,inference_time
yolov8s,0.575815763024902,0.9816342893302871,3651.22663041699,0.006812263144043631
yolov8s_epochs_20,0.5991502578838942,0.9802051382304442,7146.712881625048,0.0038781976883117586
yolov8s_lr_0.0005,0.5683065188496694,0.9821521412036619,3571.1279022910167,0.003875294805738963
yolov8s_batch_8,0.5592682808180104,0.9842543810323939,3780.262243708945,0.018225767068071223
